vulnerable_package,dependency_name,dependency_version_spec,vulnerability_version_specs
feast,moto,<5,['<1.3.7']
feast,urllib3,"<3,>=1.25.4","['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
feast,pre-commit,<3.3.2,['<1.10.4']
feast,virtualenv,<20.24.2,"['<1.5', '<20.21.0', '<20.26.6']"
feast,redis,"<5,>=4.2.2","['>=4.2.0rc1,<4.3.6', '>=4.2.0rc1,<4.4.4', '>=4.4.0rc1,<4.4.3', '>=4.5.0,<4.5.3', '>=4.5.0,<4.5.4']"
feast,hiredis,"<3,>=2.0.0",['<2.1.0']
feast,aiobotocore,"<3,>2",['<2.9.1']
feast,kubernetes,<=20.13.0,"['<10.0.1', '<25.3.0', '<7.0.1', '>=8.0,<8.0.1', '>=9.0,<9.0.0a1']"
feast,pyspark,"<4,>=3.0.0","['<2.3.3', '<3.4.0', '<=3.0.3', '==2.3.0', '>=0,<2.1.3', '>=0,<2.2.0', '>=0,<2.4.6', '>=0,<3.1.3', '>=0,<3.2.2', '>=1.0.2,<2.2.3', '>=1.6.0,<2.1.2', '>=2.1.0,<2.1.3', '>=2.2.0,<2.2.2', '>=2.3.0,<2.3.2', '>=3.1.1,<=3.1.3', '>=3.2.0,<3.2.2', '>=3.2.0,<=3.2.1']"
feast,psycopg,"<4,>=3.0.0",['<3.0.4']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
feast,sqlite-vec,==v0.1.1,['<0.1.3']
paddlepaddle,protobuf,>=3.20.2,"['<3.15.0', '<3.18.3', '<3.4.0', '>=3.19.0rc0,<3.19.5', '>=3.20.0rc0,<3.20.2', '>=4.0.0rc0,<4.21.6']"
paddlepaddle,protobuf,"<=3.20.2,>=3.1.0","['<3.15.0', '<3.18.3', '<3.4.0', '>=3.19.0rc0,<3.19.5', '>=3.20.0rc0,<3.20.2', '>=4.0.0rc0,<4.21.6']"
clearml,psutil,>=3.4.2,"['<0.5.1', '<=5.6.5']"
clearml,urllib3,>=1.21.1,"['<1.23', '<1.24.2', '<1.24.3', '<1.25.9', '<1.26.17', '<1.26.18', '<1.26.5', '<=1.26.18', '==1.17', '==1.18', '>=0,<1.8', '>=1.25.2,<=1.25.7', '>=1.26.0,<1.26.4', '>=2.0.0a1,<2.0.5', '>=2.0.0a1,<2.0.7', '>=2.0.0a1,<=2.2.1']"
clearml,pyjwt,"<2.10.0,>=2.4.0","['<1.0.0', '<1.5.1', '<2.10.1', '>=1.5.0,<2.4.0']"
